"","t","PM10"
"1",1496102400,NA
"2",1496106000,16.2
"3",1496109600,11.2
"4",1496113200,11.9
"5",1496116800,15.7
"6",1496120400,19.4
"7",1496124000,23.1
"8",1496127600,22
"9",1496131200,24.1
"10",1496134800,32.3
"11",1496138400,22.6
"12",1496142000,19.4
"13",1496145600,13.1
"14",1496149200,12.5
"15",1496152800,22.1
"16",1496156400,12.3
"17",1496160000,7.5
"18",1496163600,10.7
"19",1496167200,16.9
"20",1496170800,15.4
"21",1496174400,18
"22",1496178000,16.9
"23",1496181600,14.5
"24",1496185200,11.7
"25",1496188800,6.6
"26",1496192400,8.5
"27",1496196000,10.5
"28",1496199600,8.1
"29",1496203200,7.4
"30",1496206800,8.6
"31",1496210400,7.1
"32",1496214000,8.2
"33",1496217600,7.8
"34",1496221200,10.1
"35",1496224800,6.1
"36",1496228400,5
"37",1496232000,5.3
"38",1496235600,8
"39",1496239200,3.8
"40",1496242800,7
"41",1496246400,12.6
"42",1496250000,8
"43",1496253600,6.2
"44",1496257200,7.5
"45",1496260800,8.3
"46",1496264400,8.6
"47",1496268000,16
"48",1496271600,20
"49",1496275200,14.3
"50",1496278800,13.9
"51",1496282400,15
"52",1496286000,10.6
"53",1496289600,12.3
"54",1496293200,14.4
"55",1496296800,14.7
"56",1496300400,16.8
"57",1496304000,18.2
"58",1496307600,22.2
"59",1496311200,16.6
"60",1496314800,15.5
"61",1496318400,14.7
"62",1496322000,12.7
"63",1496325600,13.1
"64",1496329200,21.6
"65",1496332800,13.9
"66",1496336400,12.8
"67",1496340000,12.8
"68",1496343600,13.8
"69",1496347200,12.3
"70",1496350800,16.5
"71",1496354400,22.2
"72",1496358000,23.1
"73",1496361600,22.2
"74",1496365200,20.5
"75",1496368800,18.2
"76",1496372400,19.9
"77",1496376000,22.1
"78",1496379600,21.2
"79",1496383200,22.1
"80",1496386800,21.8
"81",1496390400,25
"82",1496394000,24.8
"83",1496397600,23.2
"84",1496401200,21.7
"85",1496404800,22.6
"86",1496408400,18.2
"87",1496412000,21.4
"88",1496415600,15
"89",1496419200,14.1
"90",1496422800,14.9
"91",1496426400,14.3
"92",1496430000,8.9
"93",1496433600,15.5
"94",1496437200,17.2
"95",1496440800,18.6
"96",1496444400,14.8
"97",1496448000,15.7
"98",1496451600,14.9
"99",1496455200,13.7
"100",1496458800,10.8
"101",1496462400,13.1
"102",1496466000,12.1
"103",1496469600,11.8
"104",1496473200,10.7
"105",1496476800,10
"106",1496480400,9.2
"107",1496484000,10.8
"108",1496487600,12.1
"109",1496491200,13.7
"110",1496494800,9
"111",1496498400,6.4
"112",1496502000,6.5
"113",1496505600,9.6
"114",1496509200,2.8
