"","t","NO2"
"272",1497078000,19.3
"273",1497081600,9.6
"274",1497085200,6.9
"275",1497088800,3.7
"276",1497092400,2.8
"277",1497096000,2.6
"278",1497099600,2.9
"279",1497103200,2.5
"280",1497106800,2.7
"281",1497110400,2.8
"282",1497114000,4.1
"283",1497117600,5.4
"284",1497121200,15.7
"285",1497124800,33.8
"286",1497128400,30.9
"287",1497132000,32.1
"288",1497135600,50.1
"289",1497139200,48.9
"290",1497142800,47.9
"291",1497146400,23.6
"292",1497150000,37.3
"293",1497153600,40.9
"294",1497157200,19.9
"295",1497160800,19.7
"296",1497164400,13.9
"297",1497168000,12.1
"298",1497171600,5.9
"299",1497175200,5.1
"300",1497178800,2.6
"301",1497182400,1.9
"302",1497186000,1.9
"303",1497189600,2.2
"304",1497193200,2.6
"305",1497196800,5.9
"306",1497200400,6.8
"307",1497204000,10.3
"308",1497207600,10.7
"309",1497211200,7.2
"310",1497214800,4.9
"311",1497218400,4.9
"312",1497222000,3.6
"313",1497225600,2.8
"314",1497229200,1.5
"315",1497232800,1
"316",1497236400,1.6
"317",1497240000,1.9
"318",1497243600,5.9
"319",1497247200,12.3
"320",1497250800,14.8
"321",1497254400,12.5
"322",1497258000,7.1
"323",1497261600,6.5
"324",1497265200,5.9
"325",1497268800,6.6
"326",1497272400,6
"327",1497276000,4.4
"328",1497279600,5.5
"329",1497283200,5.9
"330",1497286800,7.6
"331",1497290400,9
"332",1497294000,8.7
"333",1497297600,10.1
"334",1497301200,18.7
"335",1497304800,32.3
"336",1497308400,28
"337",1497312000,16.5
"338",1497315600,12.3
"339",1497319200,16.5
"340",1497322800,13.8
"341",1497326400,18
"342",1497330000,23.6
"343",1497333600,32.4
"344",1497337200,32.1
"345",1497340800,34.4
"346",1497344400,36.1
"347",1497348000,15.7
"348",1497351600,4.5
"349",1497355200,3.4
"350",1497358800,3.7
"351",1497362400,3.8
"352",1497366000,5.9
"353",1497369600,11.5
"354",1497373200,13.2
"355",1497376800,10.8
"356",1497380400,10.8
"357",1497384000,14
"358",1497387600,8.5
"359",1497391200,11.3
"360",1497394800,9.9
"361",1497398400,13.9
"362",1497402000,5.1
"363",1497405600,4
"364",1497409200,3.9
"365",1497412800,9.8
"366",1497416400,12.2
"367",1497420000,15.2
"368",1497423600,20.1
"369",1497427200,14
"370",1497430800,19.7
"371",1497434400,23.2
"372",1497438000,17.8
"373",1497441600,7.8
"374",1497445200,6.1
"375",1497448800,5.5
"376",1497452400,7.4
"377",1497456000,8
"378",1497459600,7
"379",1497463200,10.9
"380",1497466800,12.7
"381",1497470400,14.1
"382",1497474000,14.4
"383",1497477600,31.3
"384",1497481200,22.2
"385",1497484800,29.2
"386",1497488400,18.9
"387",1497492000,10.7
"388",1497495600,4.6
"389",1497499200,6.6
"390",1497502800,8.6
"391",1497506400,14.7
"392",1497510000,11.6
"393",1497513600,12.2
"394",1497517200,9.4
"395",1497520800,9.3
"396",1497524400,7.3
"397",1497528000,7.2
"398",1497531600,5.4
"399",1497535200,6.2
"400",1497538800,11.2
"401",1497542400,11.4
"402",1497546000,14.4
"403",1497549600,11.6
"404",1497553200,8.8
"405",1497556800,7.6
"406",1497560400,6
"407",1497564000,6.7
"408",1497567600,4.5
"409",1497571200,3
"410",1497574800,3.6
"411",1497578400,1.9
"412",1497582000,3.4
"413",1497585600,3.6
"414",1497589200,5.1
"415",1497592800,11.3
"416",1497596400,13.2
"417",1497600000,8.1
"418",1497603600,6.1
"419",1497607200,8
"420",1497610800,4.9
"421",1497614400,3.4
"422",1497618000,4.2
"423",1497621600,6.4
"424",1497625200,7.7
"425",1497628800,11.7
"426",1497632400,11.8
"427",1497636000,10.6
"428",1497639600,12
"429",1497643200,9.6
"430",1497646800,8.6
"431",1497650400,11.1
"432",1497654000,16.7
"433",1497657600,8.7
"434",1497661200,10.7
"435",1497664800,8.4
"436",1497668400,8
"437",1497672000,6.4
"438",1497675600,13.1
"439",1497679200,18.2
"440",1497682800,7.5
"441",1497686400,6.4
"442",1497690000,4.4
"443",1497693600,4.4
"444",1497697200,3.1
"445",1497700800,3.8
"446",1497704400,5.5
"447",1497708000,5.2
"448",1497711600,5.5
"449",1497715200,7.1
"450",1497718800,10.3
"451",1497722400,8.1
"452",1497726000,10.2
"453",1497729600,15
"454",1497733200,16.6
"455",1497736800,18.9
"456",1497740400,22.8
"457",1497744000,25.2
"458",1497747600,29.2
"459",1497751200,21.8
"460",1497754800,24.9
"461",1497758400,27.7
"462",1497762000,15.9
"463",1497765600,9.8
"464",1497769200,10
"465",1497772800,6.9
"466",1497776400,7.1
"467",1497780000,4.9
"468",1497783600,3.6
"469",1497787200,2.7
"470",1497790800,2.1
"471",1497794400,2.2
"472",1497798000,5.5
"473",1497801600,4.9
"474",1497805200,4.2
"475",1497808800,4.6
"476",1497812400,6.1
"477",1497816000,5.4
"478",1497819600,1.9
"479",1497823200,1.8
"480",1497826800,0
"481",1497830400,0
"482",1497834000,0
"483",1497837600,0
"484",1497841200,0
"485",1497844800,1.1
"486",1497848400,2
"487",1497852000,5.5
"488",1497855600,7.7
"489",1497859200,6.4
"490",1497862800,4.2
"491",1497866400,3.4
"492",1497870000,2.4
"493",1497873600,2.2
"494",1497877200,2.4
"495",1497880800,2.3
"496",1497884400,4.8
"497",1497888000,5.9
"498",1497891600,4.7
"499",1497895200,4.5
"500",1497898800,3.8
"501",1497902400,3.8
"502",1497906000,3.1
"503",1497909600,2.4
"504",1497913200,1.9
"505",1497916800,1.4
"506",1497920400,0.1
"507",1497924000,0.1
"508",1497927600,0.4
"509",1497931200,3.3
"510",1497934800,4.4
"511",1497938400,9.3
"512",1497942000,13.3
"513",1497945600,12.5
"514",1497949200,8.8
"515",1497952800,9
"516",1497956400,6.4
"517",1497960000,4.7
"518",1497963600,5.1
"519",1497967200,5.6
"520",1497970800,6.4
"521",1497974400,10.4
"522",1497978000,12.2
"523",1497981600,10.2
"524",1497985200,11.9
"525",1497988800,10.9
"526",1497992400,9.2
"527",1497996000,7.5
"528",1497999600,5.7
"529",1498003200,5.7
"530",1498006800,4
"531",1498010400,3.1
